@relation 'abalone_train-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.trees.J48 -C 0.25 -M 50-C-1-F0-T0.1-I0'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Class_number_of_rings {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}

@data
I,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7
I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9
M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9
M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11
F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11
F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,9
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10
M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11
M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11
I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8
F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10
F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11
M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10
M,0.625,0.48,0.18,1.223,0.565,0.2975,0.3375,10
M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
I,0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7
M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9
M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10
F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
F,0.675,0.54,0.21,1.593,0.686,0.318,0.45,11
F,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,10
F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
M,0.52,0.425,0.125,0.79,0.372,0.205,0.19,8
F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10
I,0.41,0.33,0.105,0.335,0.1525,0.074,0.11,7
I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11
M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,8
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8
M,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,8
M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10
F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10
M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11
F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8
M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,9
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
M,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11
M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11
M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
